Airport List,,,,,,,,
JAC,Jackson Hole,CPR,II,Jackson,WY,Central,Surface Region 4,Y
JAN,Jackson-Medgar Wiley Evers International,JAN,II,Jackson,MS,Southeast,Surface Region 2,Y
JAX,Jacksonville International,MCO,I,Jacksonville,FL,Southeast,Surface Region 2,Y
JFK,John F Kennedy International,JFK,X,Jamaica,NY,Northeast,Surface Region 1,Y
PLN,Pellston Regional/Emmet County,DTW,IV,Pellston,MI,Northeast,Surface Region 3,Y
SAW,Marquette Sawyer Regional,DTW,III,Gwinn,MI,Northeast,Surface Region 3,Y
ABR,Aberdeen Regional,FSD,IV,Aberdeen,SD,Central,Surface Region 4,Y
ATY,Watertown Regional,FSD,IV,Watertown,SD,Central,Surface Region 4,Y
JNU,Juneau International,ANC,II,Juneau,AK,Western,Surface Region 5,Y
PIR,Pierre Regional,FSD,IV,Pierre,SD,Central,Surface Region 4,Y
GCN,Grand Canyon National Park,GCN,III,Grand Canyon,AZ,Western,Surface Region 5,N
KOA,Ellison Onizuka Kona International at Keahole,HNL,I,Kailua-Kona,HI,Western,Surface Region 5,Y
JHM,Kapalua,HNL,IV,Kapalua,HI,Western,Surface Region 5,N
LNY,Lanai,HNL,IV,Lanai City,HI,Western,Surface Region 5,N
MKK,Molokai,HNL,IV,Hoolehua,HI,Western,Surface Region 5,N
PPG,Pago Pago International,HNL,III,Pago Pago,AS,Western,Surface Region 5,Y
LYH,Lynchburg Regional/Preston Glenn Field,IAD,III,Lynchburg,VA,Southeast,Surface Region 2,Y
LAS,Harry Reid International,LAS,X,Las Vegas,NV,Western,Surface Region 5,Y
PHF,Newport News/Williamsburg International,IAD,III,Newport News,VA,Southeast,Surface Region 2,Y
LAX,Los Angeles International,LAX,X,Los Angeles,CA,Western,Surface Region 5,Y
LBB,Lubbock Preston Smith International,AUS,II,Lubbock,TX,Western,Surface Region 4,Y
SHD,Shenandoah Valley Regional,IAD,IV,Weyers Cave,VA,Southeast,Surface Region 2,Y
BPT,Jack Brooks Regional,IAH,III,Beaumont,TX,Western,Surface Region 4,Y
DDC,Dodge City Regional,ICT,IV,Dodge City,KS,Central,Surface Region 3,Y
FOE,Topeka Regional,ICT,IV,Topeka,KS,Central,Surface Region 3,N
GCK,Garden City Regional,ICT,III,Garden City,KS,Central,Surface Region 3,Y
HYS,Hays Regional,ICT,IV,Hays,KS,Central,Surface Region 3,Y
LEX,Blue Grass,CVG,II,Lexington,KY,Northeast,Surface Region 2,Y
LBL,Liberal Mid-America Regional,ICT,IV,Liberal,KS,Central,Surface Region 3,Y
LGA,LaGuardia,JFK,X,Flushing,NY,Northeast,Surface Region 1,Y
LGB,Long Beach (Daugherty Field),LAX,I,Long Beach,CA,Western,Surface Region 5,Y
LIH,Lihue,HNL,I,Lihue,HI,Western,Surface Region 5,Y
LIT,Bill and Hillary Clinton National/Adams Field,LIT,II,Little Rock,AR,Southeast,Surface Region 4,Y
MHK,Manhattan Regional,ICT,III,Manhattan,KS,Central,Surface Region 3,Y
SLN,Salina Regional,ICT,IV,Salina,KS,Central,Surface Region 3,Y
EVV,Evansville Regional,IND,III,Evansville,IN,Northeast,Surface Region 3,Y
LAF,Purdue University,IND,IV,West Lafayette,IN,Northeast,Surface Region 3,Y
GLH,Greenville Mid-Delta,JAN,IV,Greenville,MS,Southeast,Surface Region 2,Y
GTR,Golden Triangle Regional,JAN,III,Columbus,MS,Southeast,Surface Region 2,Y
MEI,Key Field,JAN,IV,Meridian,MS,Southeast,Surface Region 2,Y
PIB,Hattiesburg/Laurel Regional,JAN,IV,Moselle,MS,Southeast,Surface Region 2,Y
MAF,Midland International Air And Space Port,AUS,II,Midland,TX,Western,Surface Region 4,Y
TUP,Tupelo Regional,JAN,IV,Tupelo,MS,Southeast,Surface Region 2,Y
SWF,New York Stewart International,JFK,III,New  Windor,NY,Northeast,Surface Region 1,Y
EKO,Elko Regional,LAS,IV,Elko,NV,Western,Surface Region 5,Y
MCI,Kansas City International,STL,I,Kansas City,MO,Central,Surface Region 3,Y
SBD,San Bernardino International,LAX,III,San Bernardino,CA,Western,Surface Region 5,Y
ELD,South Arkansas Regional at Goodwin Field,LIT,IV,El Dorado,AR,Southeast,Surface Region 4,Y
MCO,Orlando International,MCO,X,Orlando,FL,Southeast,Surface Region 2,Y
FSM,Fort Smith Regional,LIT,III,Ft Smith,AR,Southeast,Surface Region 4,Y
MDT,Harrisburg International,PHL,II,Middletown,PA,Northeast,Surface Region 2,Y
MDW,Chicago Midway International,ORD,I,Chicago,IL,Central,Surface Region 3,Y
TXK,Texarkana Regional-Webb Field,LIT,III,Texarkana,AR,Southeast,Surface Region 4,Y
MEM,Memphis International,BNA,I,Memphis,TN,Southeast,Surface Region 2,Y
MFE,Mc Allen Miller International,SAT,II,McAllen,TX,Western,Surface Region 4,Y
MFR,Rogue Valley International - Medford,PDX,II,Medford,OR,Western,Surface Region 5,Y
FPR,Treasure Coast International,MCO,III,Ft. Pierce,FL,Southeast,Surface Region 2,Y
SGJ,Northeast Florida Regional,MCO,III,St. Augustine,FL,Southeast,Surface Region 2,N
VRB,Vero Beach Regional,MCO,III,Vero Beach,FL,Southeast,Surface Region 2,Y
MHT,Manchester Boston Regional,MHT,II,Manchester,NH,Northeast,Surface Region 1,Y
MIA,Miami International,MIA,X,Miami,FL,Southeast,Surface Region 2,Y
MKE,General Mitchell International,MKE,I,Milwaukee,WI,Central,Surface Region 3,Y
LEB,Lebanon Municipal,MHT,IV,West Lebanon,NH,Northeast,Surface Region 1,Y
PSM,Portsmouth International at Pease,MHT,III,Portsmouth,NH,Northeast,Surface Region 1,Y
CWA,Central Wisconsin,MKE,III,Mosinee,WI,Central,Surface Region 3,Y
MLB,Melbourne Orlando International,MCO,II,Melbourne,FL,Southeast,Surface Region 2,Y
MLI,Quad Cities International,ORD,II,Moline,IL,Central,Surface Region 3,Y
EAU,Chippewa Valley Regional,MKE,III,Eau Claire,WI,Central,Surface Region 3,Y
LSE,La Crosse Regional,MKE,III,La Crosse,WI,Central,Surface Region 3,Y
MOB,Mobile Regional,BHM,II,Mobile,AL,Southeast,Surface Region 2,Y
RHI,Rhinelander/Oneida County,MKE,III,Rhinelander,WI,Central,Surface Region 3,Y
MRY,Monterey Regional,SFO,II,Monterey,CA,Western,Surface Region 5,Y
BJI,Bemidji Regional,MSP,IV,Bemidji,MN,Central,Surface Region 3,Y
MSN,Dane County Regional/Truax Field,MKE,II,Madison,WI,Central,Surface Region 3,Y
MSO,Missoula Montana,BIL,II,Missoula,MT,Central,Surface Region 4,Y
MSP,Minneapolis-St Paul International/Wold-Chamberlain,MSP,X,St. Paul,MN,Central,Surface Region 3,Y
BRD,Brainerd Lakes Regional,MSP,IV,Brainerd,MN,Central,Surface Region 3,Y
MSY,Louis Armstrong New Orleans International,MSY,I,Kenner,LA,Southeast,Surface Region 4,Y
DLH,Duluth International,MSP,III,Duluth,MN,Central,Surface Region 3,Y
HIB,Range Regional,MSP,IV,Hibbing,MN,Central,Surface Region 3,Y
INL,Falls International/Einarson Field,MSP,IV,International Falls,MN,Central,Surface Region 3,Y
MYR,Myrtle Beach International,CHS,I,Myrtle Beach,SC,Southeast,Surface Region 2,Y
NTV,National Transportation Vetting Center,NTV,II,Colorado Springs,CO,Central,Surface Region 4,N
NTVC,National Transportation Vetting Center,HQ,'-,Moab,VA,Central,Surface Region 3,N
RST,Rochester International,MSP,III,Rochester,MN,Central,Surface Region 3,Y
STC,St Cloud Regional,MSP,III,St. Cloud,MN,Central,Surface Region 3,Y
OAK,Oakland International,OAK,I,Oakland,CA,Western,Surface Region 5,Y
TVF,Thief River Falls Regional,MSP,IV,Thief River Falls,MN,Central,Surface Region 3,Y
OGG,Kahului,HNL,I,"Kahului, Maui",HI,Western,Surface Region 5,Y
AEX,Alexandria International,MSY,III,Alexandria,LA,Southeast,Surface Region 4,Y
OKC,OKC Will Rogers International,OKC,I,Oklahoma City,OK,Central,Surface Region 4,Y
LCH,Lake Charles Regional,MSY,III,Lake Charles,LA,Southeast,Surface Region 4,Y
OMA,Eppley Airfield,OMA,I,Omaha,NE,Central,Surface Region 3,Y
LFT,Lafayette Regional/Paul Fournet Field,MSY,III,Lafayette,LA,Southeast,Surface Region 4,Y
ONT,Ontario International,LAX,I,Ontario,CA,Western,Surface Region 5,Y
ORD,Chicago O'Hare International,ORD,X,Chicago,IL,Central,Surface Region 3,Y
ORF,Norfolk International,IAD,I,Norfolk,VA,Southeast,Surface Region 2,Y
MLU,Monroe Regional,MSY,III,Monroe,LA,Southeast,Surface Region 4,Y
SCK,Stockton Metropolitan,OAK,III,Stockton,CA,Western,Surface Region 5,Y
LAW,Lawton-Fort Sill Regional,OKC,III,Lawton,OK,Central,Surface Region 4,Y
SWO,Stillwater Regional,OKC,III,Stillwater,OK,Central,Surface Region 4,Y
PAE,Snohomish County (Paine Field),SEA,II,Snohomish County,WA,Western,Surface Region 5,Y
AIA,Alliance Municipal,OMA,IV,Alliance,NE,Central,Surface Region 3,Y
BFF,Western Nebraska Regional/William B Heilig Field,OMA,IV,Gering,NE,Central,Surface Region 3,Y
PBI,Palm Beach International,MCO,I,West Palm Beach,FL,Southeast,Surface Region 2,Y
PDX,Portland International,PDX,I,Portland,OR,Western,Surface Region 5,Y
CDR,Chadron Municipal,OMA,IV,Chadron,NE,Central,Surface Region 3,Y
PGD,Punta Gorda,RSW,II,Punta Gorda,FL,Southeast,Surface Region 2,Y
EAR,Kearney Regional,OMA,IV,Kearney,NE,Central,Surface Region 3,Y
GRI,Central Nebraska Regional,OMA,III,Grand Island,NE,Central,Surface Region 3,Y
PHL,Philadelphia International,PHL,X,Philadelphia,PA,Northeast,Surface Region 2,Y
PHX,Phoenix Sky Harbor International,PHX,X,Phoenix,AZ,Western,Surface Region 5,Y
PIA,General Downing - Peoria International,ORD,II,Peoria,IL,Central,Surface Region 3,Y
LBF,North Platte Regional/Lee Bird Field,OMA,IV,North Platte,NE,Central,Surface Region 3,Y
PIE,St Pete-Clearwater International,TPA,II,Clearwater,FL,Southeast,Surface Region 2,Y
LNK,Lincoln,OMA,III,Lincoln,NE,Central,Surface Region 3,Y
MCK,Mc Cook Ben Nelson Regional,OMA,IV,McCook,NE,Central,Surface Region 3,Y
PIT,Pittsburgh International,PHL,I,Pittsburgh,PA,Northeast,Surface Region 2,Y
BLV,Scott AFB/Midamerica St Louis,ORD,III,Mascoutah,IL,Central,Surface Region 3,Y
BMI,Central Illinois Regional/Bloomington-Normal,ORD,III,Bloomington,IL,Central,Surface Region 3,Y
PNS,Pensacola International,MCO,I,Pensacola,FL,Southeast,Surface Region 2,Y
CMI,University Of Illinois/Willard,ORD,III,Savoy,IL,Central,Surface Region 3,Y
DEC,Decatur,ORD,IV,Decatur,IL,Central,Surface Region 3,Y
MWA,Veterans Airport Of Southern Illinois,ORD,IV,Marion,IL,Central,Surface Region 3,Y
PSC,Tri-Cities,SEA,II,Pasco,WA,Western,Surface Region 5,Y
RFD,Chicago/Rockford International,ORD,III,Rockford,IL,Central,Surface Region 3,Y
SPI,Abraham Lincoln Capital,ORD,III,Springfield,IL,Central,Surface Region 3,Y
UIN,Quincy Regional-Baldwin Field,ORD,IV,Quincy,IL,Central,Surface Region 3,Y
PSP,Palm Springs International,LAX,I,Palm Springs,CA,Western,Surface Region 5,Y
OTH,Southwest Oregon Regional,PDX,III,North Bend,OR,Western,Surface Region 5,Y
SLE,McNary Field,PDX,III,Salem,OR,Western,Surface Region 5,Y
AOO,Altoona/Blair County,PHL,IV,Martinsburg,PA,Northeast,Surface Region 2,Y
PVD,Rhode Island TF Green International,PVD,I,Warwick,RI,Northeast,Surface Region 1,Y
PVU,Provo Municipal,SLC,II,Utah County,UT,Western,Surface Region 4,Y
PWM,Portland International Jetport,PWM,II,Portland,ME,Northeast,Surface Region 1,Y
RAP,Rapid City Regional,FSD,II,Rapid City,SD,Central,Surface Region 4,Y
BFD,Bradford Regional,PHL,IV,Lewis Run,PA,Northeast,Surface Region 2,Y
DUJ,Dubois Regional,PHL,IV,Falls Creek,PA,Northeast,Surface Region 2,Y
RDM,Roberts Field,PDX,II,Redmond,OR,Western,Surface Region 5,Y
RDU,Raleigh-Durham International,RDU,I,RDU Airport,NC,Southeast,Surface Region 2,Y
ERI,Erie International/Tom Ridge Field,PHL,III,Erie,PA,Northeast,Surface Region 2,Y
ILG,New Castle,PHL,III,New Castle,DE,Northeast,Surface Region 2,Y
RIC,Richmond International,IAD,I,Richmond,VA,Southeast,Surface Region 2,Y
IPT,Williamsport Regional,PHL,IV,Montoursville,PA,Northeast,Surface Region 2,Y
JST,John Murtha Johnstown/Cambria County,PHL,IV,Johnstown,PA,Northeast,Surface Region 2,Y
LBE,Arnold Palmer Regional,PHL,III,Latrobe,PA,Northeast,Surface Region 2,Y
RNO,Reno/Tahoe International,LAS,I,Reno,NV,Western,Surface Region 5,Y
ROA,Roanoke/Blacksburg Regional (Woodrum Field),IAD,II,Roanoke,VA,Southeast,Surface Region 2,Y
ROC,Frederick Douglass/Greater Rochester International,ALB,II,Rochester,NY,Northeast,Surface Region 1,Y
LNS,Lancaster,PHL,III,Lititz,PA,Northeast,Surface Region 2,Y
RDG,Reading Regional/Carl A Spaatz Field,PHL,IV,Reading,PA,Northeast,Surface Region 2,N
RSW,Southwest Florida International,RSW,I,Fort Myers,FL,Southeast,Surface Region 2,Y
UNV,University Park,PHL,III,University Park,PA,Northeast,Surface Region 2,Y
FLG,Flagstaff Pulliam,PHX,III,Flagstaff,AZ,Western,Surface Region 5,Y
SAN,San Diego International,SAN,I,San Diego,CA,Western,Surface Region 5,Y
SAT,San Antonio International,SAT,I,San Antonio,TX,Western,Surface Region 4,Y
SAV,Savannah/Hilton Head International,ATL,I,Savannah,GA,Southeast,Surface Region 2,Y
IFP,Laughlin/Bullhead International,PHX,III,Bullhead City,AZ,Western,Surface Region 5,Y
SBA,Santa Barbara Municipal,BUR,II,Santa Barbara,CA,Western,Surface Region 5,Y
NYL,Yuma MCAS/Yuma International,PHX,III,Yuma,AZ,Western,Surface Region 5,Y
SBN,South Bend International,IND,II,South Bend,IN,Northeast,Surface Region 3,Y
SBP,San Luis County Regional,BUR,II,San Luis Obispo,CA,Western,Surface Region 5,Y
PGA,Page Municipal,PHX,IV,Page,AZ,Western,Surface Region 5,Y
PRC,Prescott Regional - Ernest A Love Field,PHX,IV,Prescott,AZ,Western,Surface Region 5,Y
SOW,Show Low Regional,PHX,IV,Show Low,AZ,Western,Surface Region 5,Y
SDF,Louisville Muhammad Ali International,CVG,I,Louisville,KY,Northeast,Surface Region 2,Y
AUG,Augusta State,PWM,IV,Augusta,ME,Northeast,Surface Region 1,Y
SEA,Seattle-Tacoma International,SEA,X,Seattle,WA,Western,Surface Region 5,Y
SFB,Orlando Sanford International,MCO,I,Sanford,FL,Southeast,Surface Region 2,Y
SFO,San Francisco International,SFO,X,San Francisco,CA,Western,Surface Region 5,Y
SGF,Springfield-Branson National,STL,II,Springfield,MO,Central,Surface Region 3,Y
BHB,Hancock County/Bar Harbor,PWM,IV,Trenton,ME,Northeast,Surface Region 1,Y
PQI,Presque Isle International,PWM,III,Presque Isle,ME,Northeast,Surface Region 1,Y
RKD,Knox County Regional,PWM,IV,Rockland,ME,Northeast,Surface Region 1,Y
EWN,Coastal Carolina Regional,RDU,III,New Bern,NC,Southeast,Surface Region 2,Y
SHV,Shreveport Regional,MSY,II,Shreveport,LA,Southeast,Surface Region 4,Y
FAY,Fayetteville Regional/Grannis Field,RDU,III,Fayetteville,NC,Southeast,Surface Region 2,Y
SJC,Norman Y Mineta San Jose International,SFO,I,San Jose,CA,Western,Surface Region 5,Y
OAJ,Albert J Ellis,RDU,III,Richlands,NC,Southeast,Surface Region 2,Y
SJU,Luis Munoz Marin International,SJU,I,San Juan,PR,Southeast,Surface Region 2,Y
SLC,Salt Lake City International,SLC,I,Salt Lake City,UT,Western,Surface Region 4,Y
PGV,Pitt-Greenville,RDU,IV,Greenville,NC,Southeast,Surface Region 2,Y
CRQ,McClellan-Palomar,SAN,III,Carlsbad,CA,Western,Surface Region 5,Y
IPL,Imperial County,SAN,IV,Imperial,CA,Western,Surface Region 5,Y
SMF,Sacramento International,SMF,I,Sacramento,CA,Western,Surface Region 5,Y
BRO,Brownsville/South Padre Island International,SAT,III,Brownsville,TX,Western,Surface Region 4,Y
SNA,John Wayne/Orange County,LAX,I,Santa Ana,CA,Western,Surface Region 5,Y
DRT,Del Rio International,SAT,III,Del Rio,TX,Western,Surface Region 4,N
LRD,Laredo International,SAT,III,Laredo,TX,Western,Surface Region 4,Y
VCT,Victoria Regional,SAT,IV,Victoria,TX,Western,Surface Region 4,Y
SRQ,Sarasota/Bradenton International,TPA,I,Sarasota,FL,Southeast,Surface Region 2,Y
ALW,Walla Walla Regional,SEA,III,Walla Walla,WA,Western,Surface Region 5,Y
STL,St Louis Lambert International,STL,I,St Louis,MO,Central,Surface Region 3,Y
STS,Charles M Schulz - Sonoma County,OAK,II,Santa Rosa,CA,Western,Surface Region 5,Y
STT,Cyril E King,SJU,II,St Thomas,VI,Southeast,Surface Region 2,Y
EAT,Pangborn Memorial,SEA,III,East Wenatchee,WA,Western,Surface Region 5,Y
PUW,Pullman/Moscow Regional,SEA,III,Pullman,WA,Western,Surface Region 5,Y
YKM,Yakima Air Terminal/Mcallister Field,SEA,III,Yakima,WA,Western,Surface Region 5,Y
BFL,Meadows Field,SFO,III,Bakersfield,CA,Western,Surface Region 5,Y
BIH,Bishop,SFO,III,Bishop,CA,Western,Surface Region 5,Y
SYR,Syracuse Hancock International,ALB,I,North Syracuse,NY,Northeast,Surface Region 1,Y
MCE,Merced Regional/Macready Field,SFO,IV,Merced,CA,Western,Surface Region 5,Y
MMH,Mammoth Yosemite,SFO,III,Mammoth Lakes,CA,Western,Surface Region 5,N
TLH,Tallahassee International,MCO,II,Tallahassee,FL,Southeast,Surface Region 2,Y
PSE,Mercedita,SJU,III,Ponce,PR,Southeast,Surface Region 2,Y
TPA,Tampa International,TPA,I,Tampa,FL,Southeast,Surface Region 2,Y
STX,Henry E Rohlsen,SJU,III,Christiansted,VI,Southeast,Surface Region 2,Y
CDC,Cedar City Regional,SLC,IV,Cedar City,UT,Western,Surface Region 4,Y
TTN,Trenton Mercer,EWR,II,Mercer,NJ,Northeast,Surface Region 1,Y
TUL,Tulsa International,OKC,I,Tulsa,OK,Central,Surface Region 4,Y
CNY,Canyonlands Regional,SLC,IV,Moab,UT,Western,Surface Region 4,Y
TUS,Tucson International,PHX,I,Tucson,AZ,Western,Surface Region 5,Y
TVC,Cherry Capital,DTW,II,Traverse City,MI,Northeast,Surface Region 3,Y
ENV,Wendover,SLC,III,Wendover,UT,Western,Surface Region 4,N
OGD,Ogden-Hinckley,SLC,III,Ogden,UT,Western,Surface Region 4,Y
SGU,St George Regional,SLC,III,St. George,UT,Western,Surface Region 4,Y
VEL,Vernal Regional,SLC,IV,Vernal,UT,Western,Surface Region 4,Y
TYS,Mc Ghee Tyson,BNA,I,Alcoa,TN,Southeast,Surface Region 2,Y
ACV,California Redwood Coast-Humboldt County,SMF,III,McKinleyville,CA,Western,Surface Region 5,Y
CEC,Jack Mc Namara Field,SMF,IV,Crescent City,CA,Western,Surface Region 5,Y
RDD,Redding Regional,SMF,III,Redding,CA,Western,Surface Region 5,Y
BBG,Branson,STL,III,Branson,MO,Central,Surface Region 3,Y
CGI,Cape Girardeau Regional,STL,IV,Cape Girardeau,MO,Central,Surface Region 3,Y
VPS,Eglin AFB/Destin-Ft Walton Beach,MCO,II,Eglin Air Force Base,FL,Southeast,Surface Region 2,Y
COU,Columbia Regional,STL,III,Columbia,MO,Central,Surface Region 3,Y
IRK,Kirksville Regional,STL,IV,Kirksville,MO,Central,Surface Region 3,Y
JLN,Joplin Regional,STL,III,Joplin,MO,Central,Surface Region 3,Y
XNA,Northwest Arkansas National,LIT,II,Bentonville,AR,Southeast,Surface Region 4,Y
TBN,Waynesville-St Robert Regional Forney Field,STL,IV,Ft. Leonard Wood,MO,Central,Surface Region 3,Y
LAL,Lakeland Linder International,TPA,III,Lakeland,FL,Southeast,Surface Region 2,Y
TS1,TSA Academy,TS1,IV,Brunswick,GA,Southeast,Surface Region 1,N
